#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 516000      6.08e-01      7.79e-03      2.71e-02    5.0e-04
 518000      8.29e-01      5.09e-02      3.59e-02    5.0e-04
 520000      1.62e-01      1.94e-02      5.33e-03    4.7e-04
 522000      7.09e-02      5.52e-03      2.90e-03    4.7e-04
 524000      9.31e-01      3.36e-02      4.18e-02    4.7e-04
 526000      5.90e-01      1.29e-02      2.70e-02    4.7e-04
 528000      2.86e-01      2.30e-02      1.16e-02    4.7e-04
 530000      1.36e-01      4.83e-03      6.20e-03    4.7e-04
 532000      5.02e-01      2.61e-03      2.31e-02    4.7e-04
 534000      6.55e-01      3.66e-03      3.01e-02    4.7e-04
 536000      3.17e-01      7.75e-05      1.46e-02    4.7e-04
 538000      4.83e-01      6.45e-03      2.21e-02    4.7e-04
 540000      3.27e-01      3.67e-04      1.50e-02    4.7e-04
 542000      6.27e-02      3.88e-03      2.79e-03    4.7e-04
 544000      3.18e-01      5.75e-03      1.46e-02    4.7e-04
 546000      7.97e-02      2.41e-03      3.60e-03    4.7e-04
 548000      1.12e-01      1.22e-02      3.99e-03    4.7e-04
 550000      1.04e-01      1.28e-02      3.36e-03    4.7e-04
 552000      1.06e-01      8.11e-03      4.60e-03    4.7e-04
 554000      7.91e-02      1.34e-02      5.73e-04    4.7e-04
 556000      5.30e-01      1.77e-03      2.43e-02    4.7e-04
 558000      1.49e-01      2.37e-02      5.18e-03    4.7e-04
 560000      3.26e-02      4.62e-03      8.15e-04    4.5e-04
 562000      1.13e-01      6.93e-03      5.16e-03    4.5e-04
 564000      4.44e-01      1.95e-02      2.06e-02    4.5e-04
 566000      2.03e-01      2.04e-03      9.57e-03    4.5e-04
 568000      7.34e-02      1.93e-03      3.43e-03    4.5e-04
 570000      8.18e-02      7.60e-03      3.22e-03    4.5e-04
 572000      9.62e-01      3.82e-02      4.48e-02    4.5e-04
 574000      5.78e-02      4.43e-03      2.59e-03    4.5e-04
 576000      1.02e-01      4.95e-04      4.83e-03    4.5e-04
 578000      7.12e-01      2.23e-03      3.37e-02    4.5e-04
 580000      2.79e-01      1.18e-02      1.30e-02    4.5e-04
 582000      6.08e-01      5.89e-03      2.87e-02    4.5e-04
 584000      6.09e-01      1.01e-03      2.88e-02    4.5e-04
 586000      3.71e-01      1.60e-02      1.70e-02    4.5e-04
 588000      3.27e-01      4.32e-03      1.54e-02    4.5e-04
 590000      5.86e-01      1.01e-03      2.77e-02    4.5e-04
 592000      5.95e-02      2.79e-03      2.70e-03    4.5e-04
 594000      1.48e-01      2.11e-02      5.58e-03    4.5e-04
 596000      1.65e-01      2.66e-02      2.18e-03    4.5e-04
 598000      3.57e-02      3.22e-03      1.42e-03    4.5e-04
 600000      6.24e-02      9.74e-03      9.23e-04    4.2e-04
 602000      1.62e-01      1.26e-02      7.41e-03    4.2e-04
 604000      1.22e-01      1.22e-02      4.71e-03    4.2e-04
 606000      4.03e-01      1.39e-02      1.94e-02    4.2e-04
 608000      1.95e-01      2.59e-02      7.80e-03    4.2e-04
 610000      1.16e-01      2.49e-03      5.58e-03    4.2e-04
 612000      1.10e-01      1.24e-02      4.69e-03    4.2e-04
 614000      8.14e-02      7.53e-03      3.27e-03    4.2e-04
 616000      5.98e-01      1.98e-03      2.91e-02    4.2e-04
 618000      4.77e-01      3.10e-02      2.23e-02    4.2e-04
 620000      1.01e-01      2.15e-03      4.88e-03    4.2e-04
 622000      3.17e-01      5.40e-03      1.53e-02    4.2e-04
 624000      5.85e-01      1.12e-02      2.83e-02    4.2e-04
 626000      2.21e-01      7.75e-03      1.05e-02    4.2e-04
 628000      1.47e-01      1.20e-04      7.16e-03    4.2e-04
 630000      3.22e-02      3.36e-03      1.21e-03    4.2e-04
 632000      4.33e-01      1.42e-03      2.11e-02    4.2e-04
 634000      6.01e-02      9.74e-03      4.13e-04    4.2e-04
 636000      9.09e-02      1.69e-03      4.40e-03    4.2e-04
